date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:37	13851/13851	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:38%20GMT	https://www.algostructure.com/sorting/shellsort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/shellsort.html	(from )
23:34:38	13808/13808	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:39%20GMT	https://www.algostructure.com/sorting/bubblesort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/bubblesort.html	(from )
23:34:38	2294/2294	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Jul%202024%2016:34:40%20GMT	https://www.algostructure.com/robots.txt		(from )
23:34:39	2488/2488	---M--	200	added ('OK')	text/css	etag:%229b8-5be483aa18dca%22	https://www.algostructure.com/Content/Site.css	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Content/Site.css	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:39	151074/151074	---M--	200	added ('OK')	text/css	etag:%2224e22-5be483aa304ce%22	https://www.algostructure.com/Content/bootstrap.css	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Content/bootstrap.css	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:39	95992/95992	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	D:/node_js/sort/sortAnimation/sortAnimation/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:39	240427/240427	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-3ab2b%22	https://code.jquery.com/ui/1.11.4/jquery-ui.min.js	D:/node_js/sort/sortAnimation/sortAnimation/code.jquery.com/ui/1.11.4/jquery-ui.min.js	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:41	36816/36816	---MCZ	200	added ('OK')	application/javascript	etag:W/%224becdc9104623e891fbb9d38bba01be4%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js	D:/node_js/sort/sortAnimation/sortAnimation/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:41	119120/119120	---M-Z	200	added ('OK')	application/javascript	etag:%221d150-61e112ee06880-gzip%22	http://static.etracker.com/code/e.js	D:/node_js/sort/sortAnimation/sortAnimation/static.etracker.com/code/e.js	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:41	13966/13966	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:42%20GMT	https://www.algostructure.com/sorting/bogosort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/bogosort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:42	14235/14235	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:43%20GMT	https://www.algostructure.com/sorting/bucketsort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/bucketsort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:42	14055/14055	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:44%20GMT	https://www.algostructure.com/sorting/cocktailsort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/cocktailsort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:43	14072/14072	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:44%20GMT	https://www.algostructure.com/sorting/combsort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/combsort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:43	14546/14546	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:44%20GMT	https://www.algostructure.com/sorting/cyclesort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/cyclesort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:43	13850/13850	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:44%20GMT	https://www.algostructure.com/sorting/gnomesort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/gnomesort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:44	13991/13991	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:45%20GMT	https://www.algostructure.com/sorting/heapsort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/heapsort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:44	13760/13760	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:45%20GMT	https://www.algostructure.com/sorting/insertionsort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/insertionsort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:44	14375/14375	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:46%20GMT	https://www.algostructure.com/sorting/mergesort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/mergesort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:45	14133/14133	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:46%20GMT	https://www.algostructure.com/sorting/oddevensort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/oddevensort.html	(from https://www.algostructure.com/sorting/shellsort.php)
